1034-32602-33300-2-a73936b7,3
426-84303-34200-2-0ad88b28,3
1327-86501-34200-2-e84cfc71,3
1222-01108-33720-2-048e9c26,3
1324-08301-32100-2-19b59f75,3
1266-74402-33600-2-68c3f221,3
1160-73901-32400-2-d1813310,3
1222-01108-33720-2-048e9c26,3
1111-11101-34500-2-a746d58b,3
24-02403-33840-2-4146088e,3
1153-07006-33600-2-a68c18f3,3
1257-88801-35100-2-b0f736f7,3
1325-85602-34800-2-8e256569,3
335-79702-32460-2-567d0f66,3
1326-86101-34200-2-eee52f08,3
1153-07006-33600-2-a68c18f3,3
1053-39304-31200-2-82045dc2,3
1087-19101-33300-2-e63c85d7,3
1034-32602-33300-2-a73936b7,3
1275-06602-32400-2-3ab4c70f,3
1153-07006-33600-2-a68c18f3,3
1045-37202-33840-2-7b4e9375,3
1253-06301-31680-2-3683dc72,3
1033-32504-34800-2-b6c45b27,3
1286-79922-34200-2-05ab30e6,3
1095-19507-29100-2-09fef1e4,3
1176-35505-33900-2-a3f2bf78,3
1326-86101-34200-2-eee52f08,3
1111-11101-34500-2-a746d58b,3
1028-03301-34800-2-ec87183f,3
1176-35505-33900-2-a3f2bf78,3
1153-07006-33600-2-a68c18f3,3
1137-01302-30600-2-0807fba2,3
1156-06701-31500-2-dba8e65d,3
1283-02702-34800-2-16bf4b38,3
1109-15405-32400-2-bb75e635,3
1111-11101-34500-2-a746d58b,3
68-06803-33600-2-a100e39c,3
1312-93301-34500-2-bc53ca65,3
1283-02702-34800-2-16bf4b38,3
1321-08204-35100-2-b604338b,3
1011-98208-34680-2-9eef750a,3
1266-74402-33600-2-68c3f221,3
1277-02203-34380-2-66642797,3
1176-35505-33900-2-a3f2bf78,3
1275-06602-32400-2-3ab4c70f,3
1153-07005-33840-2-cf06428e,3
1029-30901-34200-2-c2345920,3
1281-02503-34080-2-98893379,3
1286-79922-34200-2-05ab30e6,3
1176-35505-33900-2-a3f2bf78,3
426-84303-34200-2-0ad88b28,3
1283-02702-34800-2-16bf4b38,3
1275-06602-32400-2-3ab4c70f,3
1275-06601-33300-2-3e2f891e,3
426-84303-34200-2-0ad88b28,3
1266-74402-33600-2-68c3f221,3
1222-01107-33960-2-571dbd1c,3
1153-07005-33840-2-cf06428e,3
1124-01403-33300-2-8e43a12b,3
1027-03202-33600-2-d260d1ce,3
1222-01108-33720-2-048e9c26,3
1281-02503-34080-2-98893379,3
1010-98111-35160-2-8e107e6a,3
68-06803-33600-2-a100e39c,3
1087-19101-33300-2-e63c85d7,3
1153-07005-33840-2-cf06428e,3
